# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 -0.163897191 -0.358724375 0.843975675 -0.363537610 0.852401071 7.997377416 24.763027580 1 Original_low-1.jpg

2 0.368580357 0.911085474 0.168123667 -0.076198503 0.704312717 9.354603814 22.401310307 2 Original_low-10.jpg

3 0.374612605 0.922512040 0.083152842 -0.041503457 0.656022829 9.422642370 22.237716504 3 Original_low-11.jpg

4 0.350923695 0.874645420 0.306996316 -0.132669559 0.771924970 9.379492566 22.222286388 4 Original_low-12.jpg

5 0.298283776 0.742092611 0.553466519 -0.232379339 -0.985702339 9.023753358 22.786152704 5 Original_low-13.jpg

6 0.283974026 0.707313793 0.597184253 -0.249873804 -0.756839555 8.901281328 22.823631540 6 Original_low-14.jpg

7 0.306071744 0.759469151 0.529163999 -0.222513276 -0.608617084 9.105457041 22.711119815 7 Original_low-15.jpg

8 0.334384898 0.830664830 0.409152911 -0.175432540 -0.923595616 9.288696417 22.565387305 8 Original_low-16.jpg

9 0.318705340 0.792321415 0.478997607 -0.203014713 -0.729445319 9.153391190 22.622126009 9 Original_low-17.jpg

10 0.221697367 0.483652216 0.764077416 -0.364851358 -0.608016379 10.061387065 23.131681671 10 Original_low-18.jpg

11 0.261395806 0.616411832 0.679836326 -0.299217739 -1.005387374 9.114435243 23.125736475 11 Original_low-19.jpg

12 -0.152743413 -0.332959802 0.854648287 -0.367945005 1.192139060 8.005499849 24.741083259 12 Original_low-2.jpg

13 0.222126923 0.483859418 0.763850585 -0.364790320 -0.952711123 9.402446041 23.902227616 13 Original_low-20.jpg

14 0.146063717 0.323562502 0.844097617 -0.401835676 0.269057053 9.276719584 23.985697924 14 Original_low-21.jpg

15 0.009837797 0.032858545 0.891551648 -0.451618416 0.222233266 10.669030555 23.253308692 15 Original_low-23.jpg

16 0.529333862 0.451010218 -0.466029763 0.547002474 -0.370860695 9.740984526 17.170194115 16 Original_low-26.jpg

17 0.555065549 0.448123399 0.443291601 -0.542752440 -0.232311097 10.600359277 16.969424006 17 Original_low-28.jpg

18 0.528502004 0.848739167 -0.018084207 0.000647918 -0.627457506 8.529898612 17.379289030 18 Original_low-29.jpg

19 0.328578440 0.759030644 -0.519991626 0.213348071 1.149591517 9.291151659 22.921537936 19 Original_low-3.jpg

20 -0.363529580 -0.558982478 0.631710988 -0.395380908 0.736294843 9.000767181 17.235630783 20 Original_low-30.jpg

21 -0.337232588 -0.518766217 0.664818634 -0.418535515 0.715129991 8.980751068 17.389811532 21 Original_low-31.jpg

22 0.043334132 0.076975702 0.843468616 -0.529865632 0.669594197 8.227844287 18.942981825 22 Original_low-32.jpg

23 0.005524843 0.016325715 0.846552339 -0.532026395 0.330651135 8.040481355 19.194082938 23 Original_low-33.jpg

24 0.186359178 0.314262470 0.793079742 -0.487374476 -0.952576266 7.526739153 19.716229699 24 Original_low-34.jpg

25 0.023316910 0.045931934 0.845502958 -0.531480316 0.039284171 8.010957063 19.324908585 25 Original_low-35.jpg

26 0.086267529 0.153139916 0.838959409 -0.515027368 0.902063755 7.412280371 19.869799452 26 Original_low-36.jpg

27 0.042640566 0.079132041 0.843089672 -0.530207231 0.305880889 7.810784365 19.813647548 27 Original_low-37.jpg

28 -0.074497380 -0.110534855 0.839895542 -0.526125142 0.344091635 8.530757447 18.112528247 28 Original_low-38.jpg

29 0.634628163 0.759169299 -0.113917918 0.089060528 -1.080755551 10.134992433 22.689409271 29 Original_low-39.jpg

30 0.319390275 0.737378993 -0.550325418 0.226724517 0.805041252 9.175106618 23.079678925 30 Original_low-4.jpg

31 -0.176505501 -0.268218197 0.804014778 -0.500464828 0.912252729 8.414684818 18.337679164 31 Original_low-40.jpg

32 -0.102461350 -0.154293215 0.833277713 -0.520906448 0.463558392 8.479889448 18.333435204 32 Original_low-41.jpg

33 0.766018093 0.641106910 -0.028551067 0.037189350 -0.532424601 9.517086582 17.797505459 33 Original_low-42.jpg

34 0.776584375 0.621867936 -0.062242355 0.079516458 -0.661014861 10.193019198 16.807685830 34 Original_low-43.jpg

35 0.766605426 0.641620946 0.017286178 -0.018435542 0.344303121 9.567522591 18.093104036 35 Original_low-44.jpg

36 0.613726972 0.768678079 0.135858601 -0.118387733 -2.690779624 10.044063253 23.560360974 36 Original_low-45.jpg

37 0.226439981 0.195535316 -0.622356573 0.723300194 -0.018422011 9.740058826 18.443399713 37 Original_low-46.jpg

38 0.138902848 0.122326532 -0.641300693 0.744631210 0.338228787 9.684337485 18.164476602 38 Original_low-47.jpg

39 0.292296014 0.266358585 -0.617587006 0.679854715 0.257352352 8.193988551 14.087937629 39 Original_low-48.jpg

40 0.279426216 0.254078575 -0.622789858 0.685199140 0.190519623 8.226682885 14.558615592 40 Original_low-49.jpg

41 0.360950254 0.883029984 -0.280532420 0.106181552 0.701398576 9.216692447 22.237729219 41 Original_low-5.jpg

42 0.743165722 0.634806840 -0.137101580 0.161022180 0.053659621 9.704697053 17.772177078 42 Original_low-50.jpg

43 0.741324167 0.646064702 -0.120640640 0.135958510 -0.224075915 9.365264540 18.086774358 43 Original_low-51.jpg

44 0.762237466 0.639066209 -0.065100880 0.079688778 -0.911026134 9.968065341 17.581116655 44 Original_low-52.jpg

45 0.052986894 0.121246820 0.886886046 -0.442633865 -0.483534742 10.118390890 23.761328024 45 Original_low-53.jpg

46 0.754916927 0.641091991 -0.089483015 0.105329401 -0.901059465 9.833489327 18.137807549 46 Original_low-54.jpg

47 0.582307894 0.729196418 0.276482380 -0.229668445 -1.589720479 9.870108270 24.114468051 47 Original_low-55.jpg

48 0.712157026 0.532168515 0.276260029 -0.365115651 -0.516647307 7.741706315 7.612853812 48 Original_low-56.jpg

49 0.660955822 0.485255832 0.341020919 -0.459748749 -1.088216814 7.877832591 7.539369449 49 Original_low-57.jpg

50 0.690252318 0.507008310 0.308158486 -0.414165013 -1.341066613 7.790514378 7.330640889 50 Original_low-58.jpg

51 0.556188799 0.697388026 0.349029937 -0.287196909 -1.085649281 9.820926637 24.264319551 51 Original_low-59.jpg

52 0.353988923 0.864756703 -0.332659043 0.127379934 1.414625220 9.124148982 22.374393320 52 Original_low-6.jpg

53 0.701298058 0.515148059 0.294388979 -0.395143822 -0.674655160 7.751154666 7.209842635 53 Original_low-60.jpg

54 0.008579958 0.009760225 -0.594354893 0.804097870 0.439638740 8.318188510 8.916526270 54 Original_low-61.jpg

55 -0.058308383 -0.038852005 -0.592639071 0.802414846 0.628696488 8.390990641 9.048153525 55 Original_low-62.jpg

56 -0.122403480 -0.086556644 -0.587193257 0.795442905 0.528919393 8.391970533 9.184308713 56 Original_low-63.jpg

57 0.547657880 0.412545242 -0.438193956 0.581260120 0.647432528 7.973810398 7.735780534 57 Original_low-64.jpg

58 0.504746033 0.381031769 -0.466313409 0.618545098 0.773604841 7.950025259 7.673721706 58 Original_low-65.jpg

59 0.499463029 0.628621419 0.462060659 -0.376658654 -0.814658515 9.908894292 23.522976910 59 Original_low-66.jpg

60 0.463879095 0.348364354 -0.492259295 0.648952424 0.781270263 7.938867404 7.674309809 60 Original_low-67.jpg

61 0.423900552 0.312312259 -0.504395013 0.684364702 1.054393327 7.989691355 7.644067077 61 Original_low-68.jpg

62 0.757127740 0.570869105 -0.190963371 0.253769661 0.007367570 8.080819641 8.510676029 62 Original_low-69.jpg

63 0.373731877 0.915144780 -0.142656890 0.049834994 0.770743109 9.250881530 22.299145814 63 Original_low-7.jpg

64 0.739872910 0.558346018 -0.226982858 0.298858800 0.543115237 7.901217455 7.984605957 64 Original_low-70.jpg

65 0.741728551 0.559936842 -0.222206502 0.294845317 -0.297688820 8.018725249 8.297708246 65 Original_low-71.jpg

66 0.757563861 0.596269142 0.164855363 -0.208285420 -0.539339591 8.173835450 10.163246511 66 Original_low-72.jpg

67 0.729442997 0.574184772 0.230103777 -0.292022282 -0.008888517 8.129466711 9.950239009 67 Original_low-73.jpg

68 0.772714141 0.607983866 0.113622849 -0.142682595 -0.457386217 8.147392777 10.140163345 68 Original_low-74.jpg

69 0.714164959 0.562283019 0.257586498 -0.327803925 -0.399608503 8.076737322 9.752720336 69 Original_low-75.jpg

70 0.124828657 0.293360945 0.866152999 -0.384884586 -0.718521530 8.494739720 24.639500446 70 Original_low-76.jpg

71 0.155906636 0.364231752 0.838636615 -0.373787346 0.437974607 8.786876040 24.439623195 71 Original_low-77.jpg

72 0.173508873 0.404127392 0.820234960 -0.365773608 0.065661737 8.832817887 24.345924506 72 Original_low-78.jpg

73 0.148265948 0.346357433 0.846361229 -0.376465679 -0.355649999 8.566371921 24.567796593 73 Original_low-79.jpg

74 0.365688001 0.894600930 -0.240437385 0.090284691 0.342190994 9.138705200 22.415444615 74 Original_low-8.jpg

75 0.186579738 0.433342691 0.805276130 -0.359071674 -0.353755918 8.952980435 24.301419592 75 Original_low-80.jpg

76 0.095136605 0.227558960 0.885469669 -0.393839323 -0.024512774 8.418379639 24.772238006 76 Original_low-81.jpg

77 -0.193551916 -0.426345090 0.811732361 -0.349081787 0.993958194 8.256883339 24.493222634 77 Original_low-82.jpg

78 0.318864430 0.404542777 0.666527324 -0.538898824 0.010381034 9.954129902 23.219364719 78 Original_low-83.jpg

79 -0.221558955 -0.497294786 0.772318684 -0.327312352 1.213244980 8.067780570 24.536255324 79 Original_low-84.jpg

80 0.301469836 0.384930420 0.680003884 -0.546387433 -0.552476748 9.854063704 23.268984501 80 Original_low-85.jpg

81 0.374557245 0.918398394 -0.120543551 0.041479070 0.181421027 9.284314807 22.395166459 81 Original_low-9.jpg

82 0.371553506 0.917341569 0.129618273 -0.060262275 0.847493043 9.415589310 22.327136583 82 Original_mid-1.jpg

83 0.278715318 0.678334795 0.625314272 -0.266761577 -0.795592980 9.091260846 22.781375423 83 Original_mid-10.jpg

84 0.277562704 0.652254625 0.645173120 -0.285086821 -1.455276973 9.538717476 22.722953674 84 Original_mid-11.jpg

85 0.233192729 0.529855637 0.741988252 -0.338123630 -1.488378366 9.041282272 23.674412940 85 Original_mid-12.jpg

86 0.204936235 0.447869476 0.785480084 -0.374746727 -0.604868060 9.757865226 23.461653320 86 Original_mid-13.jpg

87 0.240877929 0.568714364 0.720097109 -0.316230847 -0.971844974 8.747845091 23.487748072 87 Original_mid-14.jpg

88 0.223665611 0.280975024 0.722358327 -0.590952771 -0.971055972 10.151679980 23.404934357 88 Original_mid-15.jpg

89 0.180594639 0.396667768 0.812417444 -0.387321771 0.063419136 9.545827317 23.697600459 89 Original_mid-16.jpg

90 0.160756922 0.355695280 0.831187352 -0.395936441 0.203908259 9.379519308 23.837943489 90 Original_mid-17.jpg

91 0.128557008 0.285550285 0.857806980 -0.407555290 0.177333902 9.177234237 24.111496101 91 Original_mid-18.jpg

92 0.196001777 0.247259128 0.734887079 -0.600322586 -0.906746274 10.089772736 23.426469123 92 Original_mid-19.jpg

93 0.375903190 0.925534489 0.038896045 -0.023870446 0.732004033 9.453597367 22.217893865 93 Original_mid-2.jpg

94 0.031044200 0.076991129 0.891787540 -0.444773658 0.127634094 10.113594126 23.702806856 94 Original_mid-20.jpg

95 0.115686513 0.248036369 0.863000530 -0.424646531 0.326542726 9.816318289 23.898094677 95 Original_mid-21.jpg

96 0.072665617 0.158989184 0.880526223 -0.440585654 0.083244028 10.023266638 23.879602888 96 Original_mid-22.jpg

97 0.145836896 0.135486259 -0.666151083 0.718761301 1.120867712 4.746452362 11.851481183 97 Original_mid-24.jpg

98 0.758256179 0.650036685 -0.030653695 0.039499691 -0.966002596 9.622380541 18.148040970 98 Original_mid-25.jpg

99 0.601940638 0.485282838 0.401180890 -0.491143491 -1.711934679 10.646000902 17.023934513 99 Original_mid-26.jpg

100 0.385203849 0.348355212 -0.574771060 0.632380321 0.689542325 8.024061148 13.097353120 100 Original_mid-27.jpg

101 0.417619637 0.377245605 -0.555801932 0.611852764 1.206395513 8.096456576 12.807649296 101 Original_mid-28.jpg

102 0.526204074 0.844201851 -0.091405035 0.045580978 -0.450485366 8.911152484 16.744888568 102 Original_mid-29.jpg

